,,,,,,,,,,,,,
,LEGENDA:,ATIVIDADE PERIÓDICA,,,,,,,,,,,
,,ATIVIDADE CONCLUÍDA,,,,,,,,,,,
,,ATIVIDADE INICIADA,,,,,,,,,,,
,,ATIVIDADE PRIORITÁRIA,,,,,,,,,,,
,,,,,,,,,,,,,
,PLANO ESTRATÉGICO BGF ,,,,,,,,,,,,
,,,,,,,,,,,,,
,"PESSOAL, POR FAVOR, ATUALIZAR OS STATUS DE CADA ÁREA, E CASO TENHAM ALGO A ACRESCENTAR PODEM COLOCAR!!! PROXIMA REUNIÃO DIA 24/01/2025.",,,,Não Iniciado,      LEGENDA DOS STATUS,Periódico,,,Iniciado,Concluído,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Área,Plano Estratégico,O que fazer - para executar o plano,Status,Responsável,Prioridades,"Data de início
real","Data de término
real",OBSERVAÇÕES,"Data de início
antecipado","Data de término
antecipado",Custo estimado,"Real
,ANÁLISE DE PROJETOS,6 Trazer mais pessoas,"Vinheram duas pessoas de outras equipes, onde estão ajudando até iniciar a demanda do outro setor.",Não Iniciado,Alexandre/Vanessa ,3 (pela vanessa),-,-,A equipe está apenas com 2 colaboradores e 2 reservas,-,-,0,0
,ANÁLISE DE PROJETOS,7 Deixar análise de projetos rodando 100%.,"No começo do ano, período de baixa demanda, foi dada prioridade a capacitação e treinamentos para os colaboradores. ",Iniciado,Alexandre/Vanessa ,1,-,-,Aplicar treinamento aos colaboradores da área ,-,-,0,0
,ANÁLISE DE PROJETOS,8. Automatização da planilha existentes de projetos,,Não Iniciado,Alexandre/Vanessa ,3 (pelo flávio),,,Desenvolvimento da IA,,,,
,ANÁLISE DE PROJETOS,9. Atualização da LV,Atualizar as LV's e procedimentos para tornar o processo de preenchimento mais dinâmico ,Não Iniciado,Alexandre/Vanessa ,,,,,,,,
,ANÁLISE DE PROJETOS,10. Prazos de entrega das análises,Revisão dos prazos de entrega das análises com a adição da modalidade de prioridade no mesmo dia de recebimento dos arquivos (eventos),Não Iniciado,Alexandre/Vanessa ,,,,Alinhar com o comercial e financeiro ,,,,
,ANÁLISE DE PROJETOS,11. Organizar as demandas dos novos clientes (Grandes Edificios),"Todos os dias as demandas dos clientes que nos mandam um grande número de projetos é alinhada, para que possamos prever o dia de entrega e adiantar os projetos se necessário. O ideal seria fragmentar essa demanda ao longo da semana.",inicado,Alexandre/Vanessa ,,,,"Novos clientes como a BrookField nos encaminham todos os projetos no mesmo dia, o que acaba saturando o dia de entrega desses projetos com as demandas já existentes, alem disso realizamos reuniões semanais com os clientes. ",,,,
,ANÁLISE DE PROJETOS,12. Realizar encontros mensais da equipe,"Pelo menos uma vez ao mês a equipe se reunir para levantar ideias novas sobre o setor, revisar o que foi feito no mês anterior, ajustar prioridades e definir metas claras para o próximo mês. ",Periódico,Alexandre/Vanessa ,,,,"Um encontro mensal de equipe pode fazer muita diferença na produtividade, motivação do grupo, bem como estimular o senso de pertencimento e promover integração entre pessoas de diferentes áreas.",,,,
,OPERAÇÕES,1.Treinamento para colaboradores temporários.,"Foram realizados treinamentos para todos os colaboradores envolvidos no projeto da Multiplan, visando a interdisciplinalidade entre as áreas. Posteriormente, todas as equipes se reuniram para treinamentos sobre testes e utilização de equipamentos. Na área de projetos realizamos avaliações de desempenho e treinamentos sobre cada disciplina. ",Concluído,Líderes de Backoffice,,09/01/2024,Trabalho continuo,"Sugestão Reunião Geral 05/02 - Utilização de vídeos em treinamentos recorrentes; Em tempos de baixa demanda realizar um intercâmbio entre os colaboradores de áres diferentes para que haja uma aplicação prática, pois nos treinamentos gerais não são realizadas avaliações e nem é praticado o que é dado de forma teórica e resumida.",---,---,---,---
,OPERAÇÕES,Trabalhar por projeto (PLANO DE DESENVOLVIMENTO INTERDISCIPLINAR),Avaliar as demandas da área e auxiliar nas outras equipes de acordo com a viabilidade de trabalho e entregas,Periódico,Líderes de Backoffice,,22/09/2025,Trabalho continuo,,,,,
,OPERAÇÕES,TODOS IREM PARA CAMPO E FAZER RELATÓRIOS / APRENDER A MEXER NO APP,Realizar treinamento para todos aprenderem a mexer no app,Não Iniciado,Líderes de Backoffice,,24/11/2025,,,,,,
,OPERAÇÕES,2.Novo conceito de organização no escritório,"Disseminar os encontros de liderança entre os demais colaboradores, para que haja uma interação coletiva e sensibilize a todos sobre as ações de seu próprio comportamento que impacta a empresa em geral. Com a ajuda dos livros pode ajudar a ter ideias.",Concluído,Alta direção / Líderes de Backoffice,,03/10/2025,03/10/2025,"Necessita de uma atenção maior, pois está relacionado a cultura da empresa, visto que as ações dos colaboradores mais antigos influenciam nas atitudes dos mais novos. Estão sendo realizadas reuniões gerais com todos os colaboradores, porém as mesmas poderiam abordar temas de comportamento e consequências.",---,---,---,---
,OPERAÇÕES,3.Plano de engajamento dos Engenheiros ,"Foi dada maior autonomia e liberdade para os lideres das equipes em gerenciar colaboradores de acordo com as demandas, sempre visando a interação entre as áreas e comunicando a todos sobre as decisões e pedindo opinião. ",Concluído,Nayara ,,13/08/2025,16/09/2025,Sugestão Reunião Geral 05/02 - Na visão da maioria está funcionado de forma efetiva.,---,---,---,---
,OPERAÇÕES,4.Melhoria no bem estar dos colaboradores,"Ouvir as ideias de melhoria, com a participação da equipe de TI fazendo relatorio para otimizar os processos. Sugestão Reunião Geral 05/02 - Está sendo investido em ergonomia e eventos para juntar todos de forma descontraída.",Periódico,Alta direção,,---,---,Foi implementado o Totalpass academias também em vistorias. Foi realizada também a pesquisa de clima e serão realizados bate-papos com os colaboradores para entender suas necessidades.,---,---,"TotalPass (aproximadamente R$ 1.000,00 por mês) ",
,OPERAÇÕES,6.Criar Plano B para atender demandas ,Avaliação dos clientes mais críticos e e prioridades,Concluído,Líderes de Backoffice,,---,---,Sugestão Reunião Geral 05/02 - Contratação de estagiários com antecedência para atender as altas demandas e interdisciplinaridade entre os colaboradores.,---,---,---,---
,OPERAÇÕES,7.Criar Plano C,Verificar a dispobilidade dos colaboradores antigos para atender as demandas,Concluído,Líderes de Backoffice,,---,---,,---,---,---,"Deve ser estudado caso a caso, pois o custo da contratação do colaborador que não faz parte da folha mensal, pode fugir do custo acordado para o projeto"
,OPERAÇÕES,8.Levar mais os estagiários para auditoria,Pendente apenas com os colaboradores de análise de projetos,Concluído,Líderes de Backoffice,,---,---,"Sugestão Reunião Geral 05/02 - Levar os colaboradores de TI, comercial e GUT para auditoria",---,---,---,---
,OPERAÇÕES,9.Melhorar follow up (estética e visibilidade das demandas principalmente para colaboradores homeoffice),Está sendo realizada a construção de uma novo follow up pelo setor de TI em conjunto com o Adrian.,Iniciado,Nayara / Setor de TI,1,---,---,"- Criar aba com visualização por disciplina/colaborador; Sugestão Reunião Geral 05/02 - As informações relevantes (Due Diligence, Laudo, Custo, GUT, Checklist e etc) do escopo virem para o follow up de forma automática do setor comercial.",---,---,US$ 5.00/ por colaborador,---
,OPERAÇÕES,"10.Utilização de metodologia SCRUM, mas com a inclusão de co-líderes em cada área e atribuindo responsabilidades a todos;
",,Concluído,Nayara ,,,,,,,,
,OPERAÇÕES,11.Comprometimento com a melhoria contínua dos processos,,Concluído,Nayara ,,,,,,,,
,OPERAÇÕES,"12.Padronização de temas em comum nos relatórios entre todas as áreas
",,Concluído,Nayara ,,,,,,,,
,OPERAÇÕES,"13.Autonomia para as equipes trabalharem, direcionando os membros das equipes para os relatórios serem mais efetivos;
",,Concluído,Nayara ,,,,,,,,
,OPERAÇÕES,"14.Cooperação e sinergia entre as equipes e tomadas de decisão em conjunto em momentos de “caos”
",,Concluído,Nayara ,,,,,,,,
,OPERAÇÕES,"15.Lidando com os conflitos, para que não interfiram nos resultados;
",,Concluído,Nayara ,,,,,,,,
,OPERAÇÕES,"16.Estando abertos à novas ideias, tecnologias e formas de trabalhar;
",,Concluído,Nayara ,,,,,,,,
,OPERAÇÕES,"17.Incentivar os colaboradores a realizarem auditorias de forma autônoma e revisarem os relatórios sem uma segunda verificação, contribuindo para a redução de retrabalho.
",,Concluído,Nayara ,,,,,,,,
,OPERAÇÕES/ELÉTRICA,18.Inclusão de fluxograma descritivo do sistema elétrico;,,Concluído,Gabriel/Juciele,,,,,,,,
,OPERAÇÕES/ELÉTRICA,19.Inclusão do quantitativo de equipamentos nos relatórios de elétrica e grupos geradores;,,Concluído,Gabriel/Juciele,,,,,,,,
,OPERAÇÕES/ELÉTRICA,"20.Textos introdutórios por locais, facilitando a compreensão e melhorando a estética do relatório;",,Concluído,Gabriel/Juciele,,,,,,,,
,OPERAÇÕES/ELÉTRICA,"21.Textos introdutórios em itens repetitivos, deixando o relatório mais sucinto;",,Concluído,Gabriel/Juciele,,,,,,,,
,OPERAÇÕES/ELÉTRICA,22.Criação de campo específico para inclusão dos trechos normativos citados no relatório;,,Concluído,Gabriel/Juciele,,,,,,,,
,OPERAÇÕES/ELÉTRICA,23.Relatórios de certificação de clientes recorrentes;,,Concluído,Gabriel/Juciele,,,,,,,,
,OPERAÇÕES/ELÉTRICA,24.Relatório de insumos via Aplicativo BGF.,,Concluído,Gabriel/Juciele,,,,,,,,
,OPERAÇÕES/CIVIL,"25.Alteração da ordem de prioridade nos relatórios, acelerando a elaboração;",,Concluído,Matheus Freitas,,,,,,,,
,OPERAÇÕES/CIVIL,26.Atualização do laudo de acessibilidade;,,Concluído,Matheus Freitas,,,,,,,,
,OPERAÇÕES/CIVIL,27.Inclusão dos testes nos sanitários acessíveis;,,Concluído,Matheus Freitas,,,,,,,,
,OPERAÇÕES/CIVIL,28.Inclusão dos testes nos sanitários acessíveis;,,Concluído,Matheus Freitas,,,,,,,,
,OPERAÇÕES/CIVIL,29.Implementação de tabelas nos testes de SDCI;,,Concluído,Matheus Freitas,,,,,,,,
